id_pays,libelle_pays,ISO_pays_num,ISO_pays_car
1,Afghanistan,4,AFG
2,Îles Åland,248,ALA
3,Albanie,8,ALB
4,Algérie,12,DZA
5,Samoa américaines,16,ASM
6,Andorre,20,AND
7,Angola,24,AGO
8,Anguilla,660,AIA
9,Antarctique,10,ATA
10,Antigua-et-Barbuda,28,ATG
11,Argentine,32,ARG
12,Arménie,51,ARM
13,Aruba,533,ABW
14,Australie,36,AUS
15,Autriche,40,AUT
16,Azerbaïdjan,31,AZE
17,Bahamas,44,BHS
18,Bahreïn,48,BHR
19,Bangladesh,50,BGD
20,Barbade,52,BRB
21,Biélorussie,112,BLR
22,Belgique,56,BEL
23,Belize,84,BLZ
24,Bénin,204,BEN
25,Bermudes,60,BMU
26,Bhoutan,64,BTN
27,Bolivie,68,BOL
28,Bosnie-Herzégovine,70,BIH
29,Botswana,72,BWA
30,Île Bouvet,74,BVT
31,Brésil,76,BRA
32,British Virgin Islands,92,VGB
33,Territoire britannique de l’Océan Indien,86,IOT
34,Brunei Darussalam,96,BRN
35,Bulgarie,100,BGR
36,Burkina Faso,854,BFA
37,Burundi,108,BDI
38,Cambodge,116,KHM
39,Cameroun,120,CMR
40,Canada,124,CAN
41,Cap-Vert,132,CPV
42,Iles Cayman,136,CYM
43,République centrafricaine,140,CAF
44,Tchad,148,TCD
45,Chili,152,CHL
46,Chine,156,CHN
47,Hong Kong,344,HKG
48,Macao,446,MAC
49,Île Christmas,162,CXR
50,Îles Cocos,166,CCK
51,Colombie,170,COL
52,Comores,174,COM
53,République du Congo,178,COG
54,République démocratique du Congo,180,COD
55,Îles Cook,184,COK
56,Costa Rica,188,CRI
57,Côte d’Ivoire,384,CIV
58,Croatie,191,HRV
59,Cuba,192,CUB
60,Chypre,196,CYP
61,République tchèque,203,CZE
62,Danemark,208,DNK
63,Djibouti,262,DJI
64,Dominique,212,DMA
65,République dominicaine,214,DOM
66,Équateur,218,ECU
67,Égypte,818,EGY
68,Salvador,222,SLV
69,Guinée équatoriale,226,GNQ
70,Érythrée,232,ERI
71,Estonie,233,EST
72,Éthiopie,231,ETH
73,Îles Falkland,238,FLK
74,Îles Féroé,234,FRO
75,Fidji,242,FJI
76,Finlande,246,FIN
77,France,250,FRA
78,Guyane française,254,GUF
79,Polynésie française,258,PYF
80,Terres australes et antarctiques françaises,260,ATF
81,Gabon,266,GAB
82,Gambie,270,GMB
83,Géorgie,268,GEO
84,Allemagne,276,DEU
85,Ghana,288,GHA
86,Gibraltar,292,GIB
87,Grèce,300,GRC
88,Groenland,304,GRL
89,Grenade,308,GRD
90,Guadeloupe,312,GLP
91,Guam,316,GUM
92,Guatemala,320,GTM
93,Guernesey,831,GGY
94,Guinée,324,GIN
95,Guinée-Bissau,624,GNB
96,Guyane,328,GUY
97,Haïti,332,HTI
