Id_Pays,Annee,Nbr_morts,Nbr_Ajout
13,2000,10510.907,1
13,2011,12442.284000000001,1
13,2021,4583.155,1
1,2011,1071347.5359999998,2
1,2021,2124386.535,2
7,2011,338852.6825,2
7,2021,769076.678,2
3,2011,40789.794,2
3,2021,145014.299,2
6,2011,1933.0130000000001,2
6,2021,3929.45,2
11,2011,1121684.4575,2
11,2021,1225388.101,2
10,2011,5493.9375,2
10,2021,5641.344,2
14,2000,0.0,1
14,2011,1454095.5,1
14,2021,1641938.4960000003,1
15,2011,275992.832,2
15,2021,205517.872,2
37,2011,246418.335,1
37,2021,794314.755,1
22,2011,261496.56399999998,2
22,2021,415389.744,1
36,2011,483505.35,1
36,2021,451975.146,1
19,2011,7790535.2975,2
19,2021,11886954.021,2
35,2011,247753.56650000002,2
35,2021,256625.055,2
17,2011,22591.456000000002,2
17,2021,18203.724000000002,2
23,2011,27731.01,2
23,2021,28632.2725,2
25,2000,7415.485,1
25,2011,7814.88,1
25,2021,8306.09,1
27,2011,337385.41,2
27,2021,656488.91,1
20,2000,34870.44,1
20,2011,34064.164,1
20,2021,39297.02,1
26,2011,20123.706000000002,2
26,2021,40331.312000000005,2
29,2011,112951.35600000001,2
29,2021,66234.452,2
40,2011,1428206.3380000002,2
40,2021,1463628.3909999998,2
215,2011,461669.631,1
215,2021,397355.682,1
45,2011,1615395.39,1
45,2021,2084434.02,1
46,2011,58859051.5,2
46,2021,74788470.0,2
39,2000,0.0,1
39,2011,606280.598,2
39,2021,728913.3925,2
51,2011,2195992.7920000004,2
51,2021,2114033.473,2
52,2011,27567.008,2
52,2021,47616.710999999996,2
56,2011,221877.096,2
56,2021,225462.12,2
59,2011,530650.0989999999,2
59,2021,429650.524,2
60,2011,105060.79800000001,1
60,2021,53216.09099999999,2
84,2011,4334177.29,1
84,2021,5738100.098999999,1
63,2011,57909.537000000004,1
63,2021,80671.54400000001,1
64,2011,3060.0975,2
64,2021,4388.7075,2
62,2011,155657.12399999998,2
62,2021,154850.206,2
208,2011,2934344.5109999995,1
208,2021,4878662.465000001,1
71,2011,93203.25,1
71,2021,86418.93,1
76,2011,311074.41599999997,1
76,2021,337302.12299999996,1
75,2011,98663.421,1
75,2021,162914.694,1
77,2011,3511651.05,1
77,2021,3581268.6709999996,1
81,2011,176243.815,1
81,2021,126091.515,1
234,2011,3263850.98,1
234,2021,4226117.742,1
85,2011,1278735.95,1
85,2021,836690.4260000001,1
82,2011,38745.5,1
82,2021,48905.905,1
89,2000,12925.583,1
89,2011,9807.354,1
89,2021,15581.538,1
88,2021,1860.1109999999999,1
92,2011,1326150.891,1
92,2021,2208441.6229999997,1
91,2011,14181.83,1
91,2021,32323.121,1
46,2001,152780045.0,1
46,2012,102222660.0,1
46,2022,110164080.0,1
100,2011,566212.511,1
100,2021,516209.91299999994,1
58,2011,111682.60200000001,2
58,2021,97212.32,2
101,2011,600001.38,1
101,2021,682510.43,1
103,2011,111655225.8,1
103,2021,134053164.19199999,1
107,2011,237128.06,1
107,2021,149561.46,1
105,2012,8474069.781,1
105,2022,8001032.311999999,1
102,2011,10177.312,1
102,2021,20155.465,1
110,2011,3023148.267,1
110,2021,3804086.464,1
114,2011,838682.218,1
114,2021,1683023.034,1
112,2011,9861390.0,1
112,2021,8333226.0,1
115,2011,1256784.144,1
115,2021,1237873.956,1
116,2011,2117412.645,1
116,2021,2079431.2,1
38,2011,208352.21399999998,2
38,2021,598653.39,2
