Id_Pays,Annee,Nbr_Habitants,Nbr_Ajout
13,1961,54608,1
13,1962,55811,1
13,1963,56682,1
13,1964,57475,1
13,1965,58178,1
13,1966,58782,1
13,1967,59291,1
13,1968,59522,1
13,1969,59471,1
13,1970,59330,1
13,1971,59106,1
13,1972,58816,1
13,1973,58855,1
13,1974,59365,1
13,1975,60028,1
13,1976,60715,1
13,1977,61193,1
13,1978,61465,1
13,1979,61738,1
13,1980,62006,1
13,1981,62267,1
13,1982,62614,1
13,1983,63116,1
13,1984,63683,1
13,1985,64174,1
13,1986,64478,1
13,1987,64553,1
13,1988,64450,1
13,1989,64332,1
13,1990,64596,1
13,1991,65712,1
13,1992,67864,1
13,1993,70192,1
13,1994,72360,1
13,1995,74710,1
13,1996,77050,1
13,1997,79417,1
13,1998,81858,1
13,1999,84355,1
13,2000,86867,1
13,2001,89101,1
13,2002,90691,1
13,2003,91781,1
13,2004,92701,1
13,2005,93540,1
13,2006,94483,1
13,2007,95606,1
13,2008,96787,1
13,2009,97996,1
13,2010,99212,1
13,2011,100341,1
13,2012,101288,1
13,2013,102112,1
13,2014,102880,1
13,2015,103594,1
13,2016,104257,1
13,2017,104874,1
13,2018,105439,1
13,2019,105962,1
13,2020,106442,1
13,2021,106585,1
13,2022,106537,1
1,1961,8622466,1
1,1962,8790140,1
1,1963,8969047,1
1,1964,9157465,1
1,1965,9355514,1
1,1966,9565147,1
1,1967,9783147,1
1,1968,10010030,1
1,1969,10247780,1
1,1970,10494489,1
1,1971,10752971,1
1,1972,11015857,1
1,1973,11286753,1
1,1974,11575305,1
1,1975,11869879,1
1,1976,12157386,1
1,1977,12425267,1
1,1978,12687301,1
1,1979,12938862,1
1,1980,12986369,1
1,1981,12486631,1
1,1982,11155195,1
1,1983,10088289,1
1,1984,9951449,1
1,1985,10243686,1
1,1986,10512221,1
1,1987,10448442,1
1,1988,10322758,1
1,1989,10383460,1
1,1990,10673168,1
1,1991,10694796,1
1,1992,10745167,1
1,1993,12057433,1
1,1994,14003760,1
1,1995,15455555,1
1,1996,16418912,1
1,1997,17106595,1
1,1998,17788819,1
1,1999,18493132,1
1,2000,19262847,1
1,2001,19542982,1
1,2002,19688632,1
1,2003,21000256,1
1,2004,22645130,1
1,2005,23553551,1
1,2006,24411191,1
1,2007,25442944,1
1,2008,25903301,1
1,2009,26427199,1
1,2010,27385307,1
1,2011,28189672,1
1,2012,29249157,1
1,2013,30466479,1
1,2014,31541209,1
1,2015,32716210,1
1,2016,33753499,1
1,2017,34636207,1
1,2018,35643418,1
1,2019,36686784,1
1,2020,37769499,1
1,2021,38972230,1
1,2022,40099462,1
7,1961,5357195,1
7,1962,5441333,1
7,1963,5521400,1
7,1964,5599827,1
7,1965,5673199,1
7,1966,5736582,1
7,1967,5787044,1
7,1968,5827503,1
7,1969,5868203,1
7,1970,5928386,1
7,1971,6029700,1
7,1972,6177049,1
